AverageLeadTime;Tot_Revenue;DistributionChannel;MarketSegment;Nationality;Interval_age;PersonsNights;RoomNights
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Direct;Direct;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;0-4;0-4
135-588;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Direct;Direct;FRA;41-60;5-24;0-4
64-135;0-499;Direct;Direct;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;GBR;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Other;DEU;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
21-63;1000-2499;Travel Agent/Operator;Other;FRA;21-40;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;GBR;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;60+;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
1-20;1000-2499;Corporate;Other;FRA;41-60;5-24;5-24
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;0-499;Corporate;Other;Other;41-60;5-24;5-24
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
21-63;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;2500-4999;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
21-63;1000-2499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;DEU;41-60;0-4;0-4
;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;500-999;Direct;Direct;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
21-63;1000-2499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Corporate;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;1000-2499;Corporate;Other;Other;41-60;5-24;5-24
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;1000-2499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;Other;41-60;0-4;0-4
64-135;2500-4999;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
21-63;0-499;Direct;Direct;Other;41-60;0-4;0-4
135-588;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
135-588;1000-2499;Direct;Direct;Other;41-60;5-24;5-24
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;GBR;60+;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;5-24
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;0-20;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
21-63;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;60+;0-4;0-4
21-63;1000-2499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Travel Agent/Operator;Other;FRA;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;FRA;21-40;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;GBR;60+;5-24;0-4
1-20;0-499;Direct;Direct;Other;41-60;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;DEU;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;21-40;5-24;0-4
1-20;0-499;Direct;Direct;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;GBR;60+;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;60+;0-4;0-4
135-588;0-499;Direct;Direct;GBR;60+;5-24;0-4
21-63;0-499;Direct;Direct;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;21-40;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;60+;0-4;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Groups;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;60+;5-24;0-4
21-63;500-999;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;21-40;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;FRA;21-40;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;GBR;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Groups;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
;1000-2499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;5-24
64-135;0-499;Travel Agent/Operator;Other;DEU;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;60+;5-24;0-4
;0-499;Direct;Direct;Other;21-40;0-4;0-4
135-588;500-999;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Groups;FRA;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
135-588;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;21-40;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
1-20;2500-4999;Corporate;Other;Other;41-60;25-49;25-49
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Direct;Direct;FRA;21-40;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;21-40;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;0-20;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
135-588;500-999;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
64-135;500-999;Travel Agent/Operator;Other;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;5-24
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;500-999;Direct;Direct;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;60+;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;21-40;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;DEU;41-60;0-4;0-4
64-135;1000-2499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;60+;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Direct;Direct;Other;60+;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;5-24
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;21-40;5-24;5-24
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;60+;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;0-4;0-4
;500-999;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;FRA;41-60;5-24;0-4
1-20;0-499;Corporate;Other;FRA;21-40;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;21-40;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;DEU;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;500-999;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;0-499;Direct;Direct;FRA;60+;0-4;0-4
1-20;0-499;Direct;Direct;Other;21-40;0-4;0-4
64-135;0-499;Direct;Direct;Other;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;41-60;0-4;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;21-40;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Groups;DEU;60+;5-24;0-4
135-588;500-999;Travel Agent/Operator;Travel Agent/Operator;GBR;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
135-588;0-499;Travel Agent/Operator;Travel Agent/Operator;GBR;21-40;0-4;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Other;FRA;41-60;5-24;5-24
64-135;0-499;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;0-499;Travel Agent/Operator;Other;GBR;41-60;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;FRA;21-40;0-4;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;21-40;5-24;0-4
64-135;500-999;Travel Agent/Operator;Travel Agent/Operator;FRA;60+;5-24;0-4
;0-499;Travel Agent/Operator;Other;Other;41-60;0-4;0-4
64-135;0-499;Direct;Direct;Other;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Other;GBR;41-60;0-4;0-4
21-63;1000-2499;Travel Agent/Operator;Other;FRA;41-60;5-24;5-24
21-63;500-999;Travel Agent/Operator;Other;DEU;41-60;5-24;0-4
64-135;0-499;Travel Agent/Operator;Travel Agent/Operator;DEU;21-40;5-24;0-4
21-63;1000-2499;Travel Agent/Operator;Other;Other;41-60;5-24;5-24
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
1-20;0-499;Travel Agent/Operator;Other;FRA;21-40;0-4;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;Other;41-60;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;21-40;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;0-20;5-24;0-4
21-63;0-499;Travel Agent/Operator;Other;Other;60+;0-4;0-4
1-20;500-999;Travel Agent/Operator;Other;FRA;0-20;5-24;0-4
21-63;500-999;Travel Agent/Operator;Other;FRA;41-60;5-24;5-24
